Name,Feature,Type,ML,Accuracy,Recall,Precision,F1,MLTime,Otime,Estimate Time
Holding Styles,StandardDeviation,802,DT,63.63,63.43,63.31,63.36,0.3169455528259277,0.4,0.72
Holding Styles,StandardDeviation,802,KNN3,68.62,68.34,69.02,68.53,0.038405179977416985,0.4,0.44
Holding Styles,StandardDeviation,802,KNN7,70.57,70.23,70.67,70.33,0.038335323333740234,0.4,0.44
Holding Styles,StandardDeviation,802,ETC100,71.5,71.23,71.42,71.22,1.4643158912658691,0.4,1.86
Holding Styles,StandardDeviation,802,ETC50,71.06,70.81,70.97,70.79,0.7394018173217773,0.4,1.14
Holding Styles,StandardDeviation,802,ETC25,70.63,70.36,70.59,70.38,0.38189697265625,0.4,0.78
Holding Styles,StandardDeviation,802,ETC10,69.38,69.02,69.37,69.1,0.1675560474395752,0.4,0.57
Holding Styles,StandardDeviation,802,RFC100,71.63,71.35,71.58,71.36,2.871545553207397,0.4,3.27
Holding Styles,StandardDeviation,802,RFC50,71.04,70.79,70.98,70.8,1.4359369277954102,0.4,1.84
Holding Styles,StandardDeviation,802,RFC25,70.75,70.51,70.76,70.53,0.7261338233947754,0.4,1.13
Holding Styles,StandardDeviation,802,RFC10,69.79,69.45,69.91,69.57,0.3126585483551025,0.4,0.71
Total,Max,502,DT,86.35,85.9,83.04,84.36,0.2459230422973633,1.0,1.25
Total,Max,502,KNN3,86.96,80.5,87.7,83.37,0.021780967712402344,1.0,1.02
Total,Max,502,KNN7,85.21,74.07,87.81,78.41,0.021617650985717773,1.0,1.02
Total,Max,502,ETC100,93.51,91.52,94.63,92.96,0.7015292644500732,1.0,1.7
Total,Max,502,ETC50,93.45,91.47,94.37,92.82,0.3541460037231445,1.0,1.35
Total,Max,502,ETC25,93.33,91.39,93.82,92.53,0.1835112571716309,1.0,1.18
Total,Max,502,ETC10,92.65,90.94,93.09,91.97,0.0823054313659668,1.0,1.08
Total,Max,502,RFC100,92.5,91.02,94.39,92.57,2.5837595462799072,1.0,3.58
Total,Max,502,RFC50,92.34,90.91,94.25,92.46,1.291712999343872,1.0,2.29
Total,Max,502,RFC25,92.16,90.78,94.14,92.34,0.6509020328521729,1.0,1.65
Total,Max,502,RFC10,90.53,88.62,92.72,90.5,0.2720615863800049,1.0,1.27
Total,Min,502,DT,87.98,85.81,86.68,86.24,0.2675175666809082,1.0,1.27
Total,Min,502,KNN3,86.47,78.08,87.51,81.62,0.02146124839782715,1.0,1.02
Total,Min,502,KNN7,85.61,73.32,88.61,77.87,0.02161884307861328,1.0,1.02
Total,Min,502,ETC100,93.23,90.5,93.72,91.99,0.7012982368469238,1.0,1.7
Total,Min,502,ETC50,93.39,90.82,93.84,92.22,0.3551177978515625,1.0,1.36
Total,Min,502,ETC25,93.36,90.38,93.78,91.95,0.18620896339416504,1.0,1.19
Total,Min,502,ETC10,92.93,89.27,93.39,91.15,0.08092737197875978,1.0,1.08
Total,Min,502,RFC100,92.8,89.38,93.83,91.39,2.6826457977294917,1.0,3.68
Total,Min,502,RFC50,92.71,89.11,93.27,91.0,1.3314507007598877,1.0,2.33
Total,Min,502,RFC25,92.34,89.06,92.78,90.77,0.6668734550476074,1.0,1.67
Total,Min,502,RFC10,91.42,87.4,92.28,89.58,0.2673177719116211,1.0,1.27
Total,Mean,502,DT,85.61,83.34,82.13,82.72,0.3062014579772949,1.0,1.31
Total,Mean,502,KNN3,85.15,74.05,85.19,77.81,0.022036314010620117,1.0,1.02
Total,Mean,502,KNN7,83.76,68.3,86.85,72.6,0.0218963623046875,1.0,1.02
Total,Mean,502,ETC100,92.65,90.49,93.42,91.82,0.7335741519927979,1.0,1.73
Total,Mean,502,ETC50,92.31,90.26,93.85,91.88,0.3741438388824463,1.0,1.37
Total,Mean,502,ETC25,91.73,88.82,93.17,90.76,0.19487452507019046,1.0,1.19
Total,Mean,502,ETC10,91.24,89.11,92.76,90.79,0.08616280555725098,1.0,1.09
Total,Mean,502,RFC100,91.61,89.14,93.1,90.92,2.8234403133392334,1.0,3.82
Total,Mean,502,RFC50,91.61,89.35,93.09,91.05,1.4199645519256592,1.0,2.42
Total,Mean,502,RFC25,91.05,88.14,92.66,90.16,0.7175381183624268,1.0,1.72
Total,Mean,502,RFC10,89.85,87.53,92.24,89.66,0.289137601852417,1.0,1.29
Total,StandardDeviation,502,DT,81.8,76.74,77.56,77.14,0.2788078784942627,1.0,1.28
Total,StandardDeviation,502,KNN3,81.06,71.9,82.97,75.81,0.02204418182373047,1.0,1.02
Total,StandardDeviation,502,KNN7,81.83,69.74,84.37,74.12,0.022176027297973636,1.0,1.02
Total,StandardDeviation,502,ETC100,88.56,84.55,90.01,86.96,0.7154438495635986,1.0,1.72
Total,StandardDeviation,502,ETC50,88.53,84.33,90.21,86.9,0.3662424087524414,1.0,1.37
Total,StandardDeviation,502,ETC25,88.38,83.81,90.07,86.52,0.18983078002929688,1.0,1.19
Total,StandardDeviation,502,ETC10,86.99,81.0,88.7,84.17,0.0831918716430664,1.0,1.08
Total,StandardDeviation,502,RFC100,88.04,83.15,88.34,85.44,2.7498927116394043,1.0,3.75
Total,StandardDeviation,502,RFC50,87.73,82.11,87.77,84.56,1.3865063190460205,1.0,2.39
Total,StandardDeviation,502,RFC25,87.58,82.21,87.47,84.51,0.6952648162841797,1.0,1.7
Total,StandardDeviation,502,RFC10,86.93,80.74,87.07,83.43,0.28352856636047363,1.0,1.28
Moving,Max,502,DT,86.37,79.21,78.21,78.7,0.1101677417755127,1.0,1.11
Moving,Max,502,KNN3,86.17,75.17,79.11,76.98,0.009803295135498049,1.0,1.01
Moving,Max,502,KNN7,84.12,70.54,76.01,72.99,0.009571313858032228,1.0,1.01
Moving,Max,502,ETC100,95.57,90.13,96.66,93.16,0.3597011566162109,1.0,1.36
Moving,Max,502,ETC50,95.43,89.86,96.32,92.86,0.18245434761047366,1.0,1.18
Moving,Max,502,ETC25,94.64,88.48,95.22,91.59,0.09481477737426758,1.0,1.09
Moving,Max,502,ETC10,93.25,86.0,92.67,89.09,0.04185676574707031,1.0,1.04
Moving,Max,502,RFC100,92.12,81.87,94.74,87.2,1.1778564453125,1.0,2.18
Moving,Max,502,RFC50,92.46,82.87,94.92,87.93,0.5957067012786865,1.0,1.6
Moving,Max,502,RFC25,92.39,83.72,93.16,87.88,0.2964720726013184,1.0,1.3
Moving,Max,502,RFC10,90.14,81.19,87.79,84.15,0.12291240692138672,1.0,1.12
Moving,Min,502,DT,85.77,77.99,76.7,77.31,0.11628961563110353,1.0,1.12
Moving,Min,502,KNN3,86.17,74.78,79.25,76.83,0.009642839431762695,1.0,1.01
Moving,Min,502,KNN7,85.37,72.72,80.12,76.02,0.010056734085083008,1.0,1.01
Moving,Min,502,ETC100,94.51,87.16,96.4,91.25,0.3641023635864258,1.0,1.36
Moving,Min,502,ETC50,94.31,87.07,95.98,91.02,0.18558239936828613,1.0,1.19
Moving,Min,502,ETC25,94.37,87.09,96.15,91.06,0.09585165977478027,1.0,1.1
